time,lat,lon,altitude,accuracy,speed,angle
1697716553603,41.4616586,-8.4332182,427.0,2.20,0.611,7.0
1697716554603,41.4616523,-8.4331972,427.0,5.03,0.613,7.0
1697716555623,41.4616523,-8.4331972,427.0,5.03,0.613,8.0
1697716556623,41.4616523,-8.4331972,427.0,5.03,0.613,8.0
1697716557623,41.4616537,-8.4331659,427.0,4.83,0.709,8.0
1697716558624,41.4616537,-8.4331659,427.0,4.83,0.709,2.0
1697716559624,41.4616537,-8.4331659,427.0,4.83,0.709,5.0
1697716560624,41.4616658,-8.433122,427.0,2.17,0.927,6.0
1697716561624,41.4616658,-8.433122,427.0,2.17,0.927,5.0
1697716562623,41.4616658,-8.433122,427.0,2.17,0.927,9.0
1697716563624,41.4616666,-8.4330841,427.0,2.22,0.977,4.0
1697716564623,41.4616666,-8.4330841,427.0,2.22,0.977,8.0
1697716565623,41.4616666,-8.4330841,427.0,2.22,0.977,10.0
1697716566643,41.4616724,-8.4330525,427.0,2.22,0.995,8.0
1697716567643,41.4616724,-8.4330525,427.0,2.22,0.995,7.0
1697716568643,41.4616724,-8.4330525,427.0,2.22,0.995,4.0
1697716569643,41.4616867,-8.4330494,427.0,2.17,0.358,4.0
1697716570643,41.4616867,-8.4330494,427.0,2.17,0.358,5.0
1697716571643,41.4616867,-8.4330494,427.0,2.17,0.358,3.0
1697716572643,41.4616858,-8.4330729,427.0,2.53,0.560,4.0
1697716573683,41.4616858,-8.4330729,427.0,2.53,0.560,5.0
1697716574683,41.4616858,-8.4330729,427.0,2.53,0.560,6.0
1697716575683,41.4617027,-8.4330898,427.0,2.23,0.582,8.0
1697716576704,41.4617027,-8.4330898,427.0,2.23,0.582,6.0
1697716577704,41.4617027,-8.4330898,427.0,2.23,0.582,8.0
1697716578703,41.4617381,-8.4330895,427.0,1.90,0.697,5.0
1697716579703,41.4617381,-8.4330895,427.0,1.90,0.697,4.0
1697716580703,41.4617381,-8.4330895,427.0,1.90,0.697,6.0
1697716581704,41.4617665,-8.4330762,427.0,1.87,0.879,6.0
1697716582704,41.4617665,-8.4330762,427.0,1.87,0.879,7.0
1697716583704,41.4617665,-8.4330762,427.0,1.87,0.879,2.0
1697716584703,41.4618022,-8.4330592,427.0,2.22,1.071,6.0
1697716585709,41.4618022,-8.4330592,427.0,2.22,1.071,6.0
1697716586723,41.4618022,-8.4330592,427.0,2.22,1.071,6.0
1697716587743,41.4618485,-8.4330514,427.0,2.62,1.261,4.0
1697716588743,41.4618485,-8.4330514,427.0,2.62,1.261,5.0
1697716589743,41.4618485,-8.4330514,427.0,2.62,1.261,4.0
1697716590743,41.4618918,-8.4330368,427.0,2.32,1.518,3.0
1697716591743,41.4618918,-8.4330368,427.0,2.32,1.518,3.0
1697716592744,41.4618918,-8.4330368,427.0,2.32,1.518,4.0
1697716593743,41.4619288,-8.4330321,427.0,2.30,1.569,4.0
1697716594744,41.4619288,-8.4330321,427.0,2.30,1.569,6.0
1697716595745,41.4619288,-8.4330321,427.0,2.30,1.569,4.0
1697716596743,41.4619559,-8.4330371,427.0,2.25,1.487,4.0
1697716597743,41.4619559,-8.4330371,427.0,2.25,1.487,4.0
1697716598743,41.4619559,-8.4330371,427.0,2.25,1.487,6.0
1697716599743,41.4619846,-8.4330454,427.0,2.25,1.376,4.0
1697716600743,41.4619846,-8.4330454,427.0,2.25,1.376,7.0
1697716601743,41.4619846,-8.4330454,427.0,2.25,1.376,7.0
1697716602743,41.4620223,-8.4330504,427.0,2.62,1.354,8.0
1697716603743,41.4620223,-8.4330504,427.0,2.62,1.354,6.0
1697716604743,41.4620223,-8.4330504,427.0,2.62,1.354,6.0
1697716605763,41.4620563,-8.4330661,427.0,2.35,1.367,5.0
1697716606763,41.4620563,-8.4330661,427.0,2.35,1.367,6.0
1697716607763,41.4620563,-8.4330661,427.0,2.35,1.367,4.0
1697716608764,41.4620821,-8.4330658,427.0,2.35,1.227,5.0
1697716609763,41.4620821,-8.4330658,427.0,2.35,1.227,3.0
1697716610783,41.4620821,-8.4330658,427.0,2.35,1.227,2.0
1697716611783,41.4621142,-8.4330827,427.0,2.32,1.163,6.0
1697716612783,41.4621142,-8.4330827,427.0,2.32,1.163,3.0
1697716613784,41.4621142,-8.4330827,427.0,2.32,1.163,3.0
1697716614783,41.4621578,-8.433095,427.0,2.28,0.990,4.0
1697716615783,41.4621578,-8.433095,427.0,2.28,0.990,6.0
1697716616804,41.4621578,-8.433095,427.0,2.28,0.990,6.0
1697716617803,41.4622128,-8.4330971,427.0,2.55,1.152,5.0
1697716618803,41.4622128,-8.4330971,427.0,2.55,1.152,7.0
1697716619803,41.4622128,-8.4330971,427.0,2.55,1.152,6.0
1697716620803,41.4622582,-8.4330912,427.0,2.20,1.265,6.0
1697716621803,41.4622582,-8.4330912,427.0,2.20,1.265,7.0
1697716622803,41.4622582,-8.4330912,427.0,2.20,1.265,6.0
1697716623803,41.4622893,-8.4330745,427.0,2.18,1.285,7.0
1697716624804,41.4622893,-8.4330745,427.0,2.18,1.285,11.0
1697716625803,41.4622893,-8.4330745,427.0,2.18,1.285,10.0
1697716626804,41.462315,-8.4330417,427.0,2.18,1.372,10.0
1697716627803,41.462315,-8.4330417,427.0,2.18,1.372,11.0
1697716628803,41.462315,-8.4330417,427.0,2.18,1.372,3.0
1697716629803,41.4623542,-8.4330114,427.0,2.22,1.411,7.0
1697716630803,41.4623542,-8.4330114,427.0,2.22,1.411,4.0
1697716631883,41.4623929,-8.4329865,427.0,2.53,1.478,6.0
1697716632884,41.4623929,-8.4329865,427.0,2.53,1.478,5.0
1697716633883,41.4623929,-8.4329865,427.0,2.53,1.478,6.0
1697716634884,41.4624255,-8.4329667,427.0,2.18,1.452,3.0
1697716635883,41.4624255,-8.4329667,427.0,2.18,1.452,4.0
1697716636883,41.4624255,-8.4329667,427.0,2.18,1.452,4.0
1697716637883,41.4624593,-8.4329442,427.0,2.23,1.369,3.0
1697716638883,41.4624593,-8.4329442,427.0,2.23,1.369,3.0
1697716639883,41.4624593,-8.4329442,427.0,2.23,1.369,4.0
1697716640883,41.4625113,-8.4329323,427.0,2.25,1.410,3.0
